Geneid	Control_1	Control_2	Treat_1	Treat_2
ENSDARG00000104795	125	112	41	81
ENSDARG00000056806	600	922	459	466
ENSDARG00000056797	978	1152	1123	779
ENSDARG00000062341	389	400	532	348
ENSDARG00000056742	2373	1830	2539	2085
ENSDARG00000037576	13	11	4	6
ENSDARG00000070431	1231	1362	1601	1405
ENSDARG00000056677	103	126	97	84
ENSDARG00000022690	946	944	885	815
ENSDARG00000012903	709	926	935	1010
ENSDARG00000003398	1007	969	1050	853
ENSDARG00000074867	306	484	488	452
ENSDARG00000039063	98	133	98	85
ENSDARG00000101525	4	0	0	4
ENSDARG00000090249	0	0	0	0
ENSDARG00000099726	0	2	0	0
ENSDARG00000091356	0	0	0	0
ENSDARG00000105094	0	0	0	0
ENSDARG00000099794	0	0	0	0
ENSDARG00000099800	0	0	0	0
ENSDARG00000103921	0	0	0	0
ENSDARG00000104546	0	0	4	1
ENSDARG00000101288	0	0	0	0
ENSDARG00000105253	0	5	0	0
ENSDARG00000104116	5	0	2	1
ENSDARG00000104056	0	0	0	0
ENSDARG00000104352	0	0	0	0
ENSDARG00000101428	0	0	0	0
ENSDARG00000070424	0	0	0	0
ENSDARG00000090330	0	0	0	0
ENSDARG00000102688	0	0	0	0
ENSDARG00000100347	0	0	0	0
ENSDARG00000102901	0	0	0	0
ENSDARG00000098479	0	0	0	0
ENSDARG00000098336	0	0	0	0
ENSDARG00000101552	0	0	0	0
ENSDARG00000100382	0	0	0	0
ENSDARG00000098885	0	0	0	0
ENSDARG00000102826	0	0	0	0
ENSDARG00000102938	0	0	0	0
ENSDARG00000100014	0	0	0	0
ENSDARG00000100790	0	0	0	0
ENSDARG00000102621	0	0	0	0
ENSDARG00000088897	0	0	0	0
ENSDARG00000078898	1904	2386	2041	1613
ENSDARG00000007534	35	20	32	33
ENSDARG00000077804	977	782	778	748
ENSDARG00000013881	662	611	746	669
ENSDARG00000079317	1970	2125	2519	2244
ENSDARG00000078854	863	917	775	761
ENSDARG00000007356	78	96	81	52
ENSDARG00000078599	566	700	500	465
ENSDARG00000101840	25	24	16	12
ENSDARG00000091657	121	156	198	196
ENSDARG00000017119	1534	1564	1382	1421
ENSDARG00000070412	1313	1306	1111	1007
ENSDARG00000034105	1615	1773	1563	1674
ENSDARG00000062198	2490	2869	3014	2554
ENSDARG00000034817	1461	1510	1505	1455
ENSDARG00000056504	691	741	645	612
ENSDARG00000099132	0	0	0	0
ENSDARG00000101179	0	0	0	0
ENSDARG00000103089	0	0	0	0
ENSDARG00000103368	0	0	0	0
ENSDARG00000103629	0	0	0	0
ENSDARG00000098060	0	0	0	0
ENSDARG00000101519	0	0	0	0
ENSDARG00000104601	0	0	0	0
ENSDARG00000098614	0	0	0	0
ENSDARG00000099146	0	0	0	0
ENSDARG00000101192	0	0	0	0
ENSDARG00000092109	2	0	0	0
ENSDARG00000017591	5144	7549	6171	4949
ENSDARG00000092708	1	1	2	2
ENSDARG00000017905	2799	3301	2922	2586
ENSDARG00000030514	1752	1765	1209	1207
ENSDARG00000056400	85	86	76	59
ENSDARG00000042937	28	30	36	20
ENSDARG00000092600	12	15	21	15
ENSDARG00000027355	22032	33922	22312	18638
ENSDARG00000056381	393	394	281	224
ENSDARG00000056376	83	87	64	56
ENSDARG00000056369	570	657	856	792
ENSDARG00000092022	9	8	1	5
ENSDARG00000011023	86	100	122	139
ENSDARG00000003046	702	753	656	478
ENSDARG00000095697	18	23	19	15
ENSDARG00000016065	94	129	81	41
ENSDARG00000062132	3991	3666	2964	2812
ENSDARG00000090504	0	0	0	0
ENSDARG00000094943	0	2	0	2
ENSDARG00000037545	124	157	104	80
ENSDARG00000015495	1481	1573	2003	2116
ENSDARG00000062122	234	261	282	201
ENSDARG00000095111	17	3	20	14
ENSDARG00000008287	511	530	594	624
ENSDARG00000062081	1573	1545	1426	1347
ENSDARG00000018178	1140	1102	1263	1100
ENSDARG00000093886	9	3	7	8
ENSDARG00000056163	96	144	117	69
ENSDARG00000079488	45	30	25	36
ENSDARG00000062055	1264	1136	975	827
ENSDARG00000074275	935	1133	1160	857
ENSDARG00000075330	4	2	7	8
ENSDARG00000006392	272	347	365	291
ENSDARG00000073902	937	1057	1113	932
ENSDARG00000019945	1587	1952	1787	1332
ENSDARG00000086957	380	419	458	515
ENSDARG00000056151	7710	6625	8115	8530
ENSDARG00000061985	3202	3700	3914	3605
ENSDARG00000061981	535	660	747	737
ENSDARG00000003631	1536	1639	1548	1219
ENSDARG00000056133	232	297	210	229
ENSDARG00000070321	32	62	35	34
ENSDARG00000017744	795	912	1486	1094
ENSDARG00000070320	65	107	64	67
ENSDARG00000061952	1406	1518	2057	1724
ENSDARG00000098159	1	0	0	0
ENSDARG00000061936	329	290	309	265
ENSDARG00000006434	430	560	727	665
ENSDARG00000037484	413	412	297	334
ENSDARG00000094729	34	38	36	21
ENSDARG00000095388	475	417	384	416
ENSDARG00000085360	0	0	0	2
ENSDARG00000037487	510	550	431	369
ENSDARG00000008068	539	659	361	378
ENSDARG00000077648	613	546	592	507
ENSDARG00000096580	2	2	0	0
ENSDARG00000079250	316	280	510	351
ENSDARG00000019986	7058	5444	5411	5994
ENSDARG00000080019	796	869	923	722
ENSDARG00000099995	1498	1437	1624	1227
ENSDARG00000070278	170	196	280	297
ENSDARG00000061830	750	779	800	685
ENSDARG00000041776	1214	1186	1034	944
ENSDARG00000095632	0	2	0	0
ENSDARG00000037455	1150	1101	991	919
ENSDARG00000093816	0	0	0	0
ENSDARG00000070266	6560	6753	5879	5437
ENSDARG00000037429	227	241	288	227
ENSDARG00000055874	17679	18467	15230	13549
ENSDARG00000055876	964	875	1792	2074
ENSDARG00000092321	0	0	0	0
ENSDARG00000061786	586	540	660	616
ENSDARG00000094202	22	31	27	28
ENSDARG00000095709	0	0	0	0
ENSDARG00000093520	0	0	0	0
ENSDARG00000092815	0	0	0	0
ENSDARG00000095472	0	0	0	0
ENSDARG00000061459	2317	2356	2306	1970
ENSDARG00000037411	44	40	36	24
ENSDARG00000084908	0	0	0	0
ENSDARG00000037410	309	386	287	242
ENSDARG00000037409	341	371	337	339
ENSDARG00000070173	3219	3380	2599	2306
ENSDARG00000088676	11	13	10	13
ENSDARG00000052782	483	553	419	355
ENSDARG00000037406	553	641	619	536
ENSDARG00000034773	419	487	766	587
ENSDARG00000033273	191	208	326	357
ENSDARG00000055439	424	366	265	305
ENSDARG00000055443	453	589	563	504
ENSDARG00000095593	1	14	0	0
ENSDARG00000037383	77	95	67	92
ENSDARG00000030759	204	225	292	181
ENSDARG00000079074	1473	1593	1116	947
ENSDARG00000061504	1188	1203	976	823
ENSDARG00000000606	109	140	93	60
ENSDARG00000087224	405	399	326	275
ENSDARG00000052764	448	542	427	395
ENSDARG00000092275	2	0	0	0
ENSDARG00000055559	486	496	436	366
ENSDARG00000008674	103	52	68	55
ENSDARG00000026871	819	900	774	874
ENSDARG00000016470	1845	1884	3035	2857
ENSDARG00000103166	3	7	2	0
ENSDARG00000091660	348	300	298	337
ENSDARG00000038056	1647	1477	1926	1511
ENSDARG00000002406	33	61	52	35
ENSDARG00000034007	2543	3248	2493	2061
ENSDARG00000061143	1547	1527	1329	1173
ENSDARG00000034896	1481	1531	1391	1272
ENSDARG00000037378	507	483	343	337
ENSDARG00000012672	855	1155	1012	1141
ENSDARG00000093064	198	201	111	142
ENSDARG00000061121	3030	3388	3062	2740
ENSDARG00000094677	544	757	597	478
ENSDARG00000054799	859	970	1053	916
ENSDARG00000037350	63393	72819	55571	58689
ENSDARG00000022845	490	462	602	611
ENSDARG00000019838	1346	1084	1458	1438
ENSDARG00000005799	730	839	884	729
ENSDARG00000013505	1467	1871	1773	1474
ENSDARG00000055022	2905	3337	3267	2808
ENSDARG00000061451	1090	1171	1001	936
ENSDARG00000070121	14	22	23	23
ENSDARG00000054680	95	81	49	53
ENSDARG00000092290	132	137	346	258
ENSDARG00000055099	1477	1443	1286	1115
ENSDARG00000070109	671	713	898	729
ENSDARG00000070098	1388	1481	1443	1126
ENSDARG00000094046	2	6	1	2
ENSDARG00000004246	2225	2488	2185	2193
ENSDARG00000083023	1	3	0	0
ENSDARG00000031108	1576	2381	1840	1646
ENSDARG00000015266	2339	2636	2303	1997
ENSDARG00000100600	0	0	0	0
ENSDARG00000092542	0	0	0	0
ENSDARG00000035692	86653	95180	74927	80534
ENSDARG00000094885	2	0	0	0
ENSDARG00000090822	2	0	0	0
ENSDARG00000090118	2	0	0	0
ENSDARG00000086859	0	0	0	2
ENSDARG00000088202	1319	1107	1166	1219
ENSDARG00000061021	918	1002	737	723
ENSDARG00000037309	399	525	518	461
ENSDARG00000054334	0	0	0	0
ENSDARG00000060994	2077	2378	2471	2176
ENSDARG00000074776	322	285	364	333
ENSDARG00000074451	424	455	440	448
ENSDARG00000079434	2776	2964	2564	2447
ENSDARG00000031817	511	587	517	405
ENSDARG00000074812	506	464	453	406
ENSDARG00000070055	791	887	904	804
ENSDARG00000070050	945	844	865	886
ENSDARG00000095408	6	3	6	5
ENSDARG00000037286	324	423	384	338
ENSDARG00000037283	832	1077	1139	1041
ENSDARG00000037281	5300	4620	8493	8969
ENSDARG00000037278	130	113	91	92
ENSDARG00000070039	11	9	0	0
ENSDARG00000091184	0	0	0	0
ENSDARG00000094763	13	10	19	20
ENSDARG00000037276	191	208	168	158
ENSDARG00000013787	753	804	867	752
ENSDARG00000086790	555	640	592	501
ENSDARG00000006427	20095	22760	18760	20410
ENSDARG00000076499	686	814	661	564
ENSDARG00000104824	0	0	0	0
ENSDARG00000037266	519	588	646	384
ENSDARG00000077157	568	717	844	556
ENSDARG00000037256	160	167	143	166
ENSDARG00000069998	210	212	154	193
ENSDARG00000053995	308	336	231	251
ENSDARG00000021702	7273	7493	6827	6119
ENSDARG00000054031	874	887	700	688
ENSDARG00000037259	1208	1415	1392	1264
ENSDARG00000037260	373	421	407	317
ENSDARG00000037261	934	964	1009	924
ENSDARG00000037262	12	20	17	22
ENSDARG00000104309	0	0	0	0
ENSDARG00000077817	472	525	499	349
ENSDARG00000076928	3510	3560	3517	2677
ENSDARG00000009685	502	536	505	488
ENSDARG00000079377	298	302	245	286
ENSDARG00000091678	388	386	355	362
ENSDARG00000014790	2127	2616	2798	2433
ENSDARG00000019581	2460	2478	2673	2492
ENSDARG00000096665	4	0	0	0
ENSDARG00000079925	1	2	0	0
ENSDARG00000053731	0	0	0	0
ENSDARG00000094127	4	0	1	0
ENSDARG00000005210	1144	1020	1019	1074
ENSDARG00000023330	3411	3940	4429	4167
ENSDARG00000096667	315	351	356	329
ENSDARG00000037245	157	206	146	135
ENSDARG00000096554	349	386	595	464
ENSDARG00000079266	251	276	195	152
ENSDARG00000023600	3839	4211	3138	2726
ENSDARG00000033345	125	102	105	149
ENSDARG00000069989	886	1000	975	867
ENSDARG00000095189	0	0	0	0
ENSDARG00000104096	2	0	0	0
ENSDARG00000102639	14	5	12	9
ENSDARG00000006621	1104	1358	1247	1041
ENSDARG00000069996	376	480	401	304
ENSDARG00000100083	972	1058	1116	1059
ENSDARG00000031632	485	569	502	460
ENSDARG00000101474	479	422	438	460
ENSDARG00000104710	195	208	242	261
ENSDARG00000095954	6	2	1	0
ENSDARG00000095895	4	2	1	3
ENSDARG00000089138	2635	2848	2628	2241
ENSDARG00000089334	390	353	359	298
ENSDARG00000078963	2	0	0	0
ENSDARG00000053456	1144	1171	1300	1320
ENSDARG00000053466	698	781	703	767
ENSDARG00000053463	227	235	257	197
ENSDARG00000037109	834	1313	1202	1059
ENSDARG00000096538	2	0	2	0
ENSDARG00000005739	2956	3341	3063	2610
ENSDARG00000053496	418	466	564	458
ENSDARG00000053500	1153	1358	1510	1525
ENSDARG00000053502	2713	3629	3105	2031
ENSDARG00000035080	9	9	6	2
ENSDARG00000037100	211	277	224	212
ENSDARG00000096627	0	0	0	0
ENSDARG00000096648	0	0	0	0
ENSDARG00000075193	6	9	13	7
ENSDARG00000069804	58	60	25	38
ENSDARG00000078546	759	977	689	688
ENSDARG00000037099	2828	3205	2863	2352
ENSDARG00000060620	210	305	260	238
ENSDARG00000075858	239	212	178	151
ENSDARG00000081408	0	0	0	0
ENSDARG00000096592	0	0	0	0
ENSDARG00000096643	0	2	0	0
ENSDARG00000093663	0	0	0	0
ENSDARG00000096555	0	0	0	0
ENSDARG00000096544	0	2	4	0
ENSDARG00000069799	0	0	0	0
ENSDARG00000074117	112	163	205	172
ENSDARG00000092653	24	24	39	42
ENSDARG00000061732	1131	1215	1102	986
ENSDARG00000095590	5	3	2	3
ENSDARG00000031202	431	433	481	433
ENSDARG00000037144	322	182	421	364
ENSDARG00000037177	2365	2790	2903	2445
ENSDARG00000003866	4967	5181	5456	5248
ENSDARG00000037178	345	404	380	263
ENSDARG00000028982	1946	2527	2501	2335
ENSDARG00000055839	177	147	138	139
ENSDARG00000060477	1213	1376	1183	1035
ENSDARG00000082429	0	0	2	1
ENSDARG00000096572	0	0	0	0
ENSDARG00000091513	1477	1400	1361	1135
ENSDARG00000026771	381	656	661	519
ENSDARG00000096632	1442	1773	1753	1499
ENSDARG00000099758	1854	1923	1967	1651
ENSDARG00000093065	353	420	445	438
ENSDARG00000074302	19	28	56	47
ENSDARG00000003142	517	569	504	446
ENSDARG00000096668	383	469	334	392
ENSDARG00000042688	56	53	76	60
ENSDARG00000060559	425	401	417	404
ENSDARG00000097202	0	0	0	0
ENSDARG00000091270	0	0	0	0
ENSDARG00000096527	119	271	29	10
ENSDARG00000092278	0	0	0	0
ENSDARG00000019715	230	298	210	232
ENSDARG00000017174	223	223	157	139
ENSDARG00000069946	2404	2763	2565	2392
ENSDARG00000074575	1592	1547	1683	1461
ENSDARG00000069951	1546	1975	1565	1372
ENSDARG00000069953	264	260	267	251
ENSDARG00000093358	0	2	4	0
ENSDARG00000094957	0	0	0	0
ENSDARG00000078902	704	785	857	595
ENSDARG00000039616	104	106	144	145
ENSDARG00000095941	4	2	0	2
ENSDARG00000018611	42	42	57	46
ENSDARG00000053269	850	839	937	945
ENSDARG00000039615	99	141	94	102
ENSDARG00000060501	108	150	155	146
ENSDARG00000039613	363	454	466	483
ENSDARG00000029751	667	623	747	687
ENSDARG00000027572	645	623	601	610
ENSDARG00000078733	188	209	345	291
ENSDARG00000058231	2326	2015	2200	2289
ENSDARG00000053248	927	990	1300	936
ENSDARG00000012896	1882	1886	1673	1369
ENSDARG00000100996	14	7	4	4
ENSDARG00000096540	2	0	0	0
ENSDARG00000053241	367	262	442	384
ENSDARG00000069834	108	94	103	92
ENSDARG00000096548	1	4	1	0
ENSDARG00000027826	261	225	292	206
ENSDARG00000079455	1536	1605	1297	1188
ENSDARG00000089053	0	0	0	0
ENSDARG00000078810	0	0	0	2
ENSDARG00000094318	2	0	2	2
ENSDARG00000060716	441	566	535	497
ENSDARG00000074815	496	577	403	406
ENSDARG00000033380	17	12	30	25
ENSDARG00000051975	2012	2034	1715	1672
ENSDARG00000079280	738	806	731	699
ENSDARG00000053586	1427	1464	1355	1222
ENSDARG00000002190	2905	3015	3252	3068
ENSDARG00000053580	13	3	9	5
ENSDARG00000003701	7	4	10	7
ENSDARG00000079350	1658	1703	1629	1480
ENSDARG00000012763	960	1088	736	684
ENSDARG00000013023	104	116	94	96
ENSDARG00000022971	814	872	699	625
ENSDARG00000081597	0	0	0	0
ENSDARG00000032056	902	1077	637	671
ENSDARG00000074860	625	622	595	521
ENSDARG00000053542	536	612	604	561
