Geneid	Control_1	Control_2	Treat_1	Treat_2
ENSDARG00000060933	96	76	63	46
ENSDARG00000034705	9828	10679	8187	8500
ENSDARG00000040812	102	111	110	114
ENSDARG00000086778	709	782	789	847
ENSDARG00000040841	107	103	102	98
ENSDARG00000040853	864	1062	1107	938
ENSDARG00000071046	643	569	545	591
ENSDARG00000041022	5171	5259	4241	4216
ENSDARG00000092881	433	669	606	458
ENSDARG00000019000	4528	5501	5291	4591
ENSDARG00000019307	890	1271	824	888
ENSDARG00000071036	397	411	405	406
ENSDARG00000040864	1362	1545	1673	1702
ENSDARG00000040874	4249	4725	4588	3997
ENSDARG00000085396	0	0	0	0
ENSDARG00000040884	3200	3628	2930	2528
ENSDARG00000094252	0	0	0	0
ENSDARG00000082901	0	0	0	0
ENSDARG00000079441	4	3	5	2
ENSDARG00000077862	4	3	8	16
ENSDARG00000093501	16	8	13	11
ENSDARG00000095439	5	4	2	0
ENSDARG00000094550	74	54	0	0
ENSDARG00000071024	551	905	944	897
ENSDARG00000091718	5	6	0	4
ENSDARG00000092252	28	15	13	18
ENSDARG00000040921	37	168	45	67
ENSDARG00000078349	91	160	53	41
ENSDARG00000071020	5	8	1	3
ENSDARG00000077466	94	85	30	19
ENSDARG00000086880	6	10	10	11
ENSDARG00000104185	11	10	20	24
ENSDARG00000040920	1011	990	1158	1157
ENSDARG00000095325	0	2	9	5
ENSDARG00000040938	41	41	22	20
ENSDARG00000054418	45	46	48	72
ENSDARG00000076614	14	16	8	23
ENSDARG00000054827	125	174	150	159
ENSDARG00000073789	215	204	335	344
ENSDARG00000054818	47993	55262	38196	44437
ENSDARG00000082419	8	18	5	3
ENSDARG00000005749	1056	1726	1673	1336
ENSDARG00000054807	1300	1455	1663	1651
ENSDARG00000027618	147	115	170	141
ENSDARG00000098438	950	1245	948	806
ENSDARG00000089663	478	612	564	517
ENSDARG00000099655	2	2	0	0
ENSDARG00000063180	1415	1665	1335	1144
ENSDARG00000063177	237	330	684	664
ENSDARG00000078966	854	940	1021	895
ENSDARG00000095933	0	0	0	0
ENSDARG00000095970	0	2	0	0
ENSDARG00000024276	2159	2137	2414	1906
ENSDARG00000016153	3960	4211	2292	2123
ENSDARG00000102397	0	0	0	2
ENSDARG00000086521	0	0	0	0
ENSDARG00000069677	90	98	90	83
ENSDARG00000100267	693	763	621	640
ENSDARG00000096942	89	77	68	42
ENSDARG00000031269	670	821	704	780
ENSDARG00000074469	531	566	488	494
ENSDARG00000103977	485	574	497	523
ENSDARG00000060953	6	7	16	14
ENSDARG00000081574	0	1	2	2
ENSDARG00000097611	141	120	125	100
ENSDARG00000087901	5	2	2	2
ENSDARG00000087407	28	10	14	6
ENSDARG00000077610	2	6	4	4
ENSDARG00000059057	1359	1608	1043	1030
ENSDARG00000088292	2	1	2	4
ENSDARG00000018944	758	676	497	589
ENSDARG00000100908	321	338	352	293
ENSDARG00000095727	0	0	0	0
ENSDARG00000099446	874	872	732	813
ENSDARG00000083189	174	177	206	214
ENSDARG00000075846	35	49	47	35
ENSDARG00000104285	1137	1454	1183	1093
ENSDARG00000104210	1348	1197	1369	1262
ENSDARG00000053918	195	220	238	253
ENSDARG00000019438	2766	2985	2263	2201
ENSDARG00000003952	16592	16473	15949	16234
ENSDARG00000041839	1548	2024	1626	1497
ENSDARG00000078752	299	350	365	316
ENSDARG00000091582	4	8	0	0
ENSDARG00000102675	27	38	10	9
ENSDARG00000077959	10	22	7	12
ENSDARG00000073994	0	36	0	0
ENSDARG00000053387	4	12	5	2
ENSDARG00000094189	1	2	0	0
ENSDARG00000054255	182	126	0	0
ENSDARG00000060884	7	11	4	0
ENSDARG00000074341	247	233	198	142
ENSDARG00000084170	0	0	0	0
ENSDARG00000103576	730	890	927	898
ENSDARG00000087525	263	207	262	224
ENSDARG00000038505	178	251	286	255
ENSDARG00000087299	324	399	345	353
ENSDARG00000038489	973	1072	1410	1556
ENSDARG00000002710	17596	22195	19645	18818
ENSDARG00000081440	0	0	0	0
ENSDARG00000083582	1	1	1	2
ENSDARG00000022271	1	4	6	6
ENSDARG00000060838	22	18	9	11
ENSDARG00000095913	56	48	57	43
ENSDARG00000038475	1401	1664	1656	1703
ENSDARG00000102155	4	6	4	6
ENSDARG00000089661	59	50	28	40
ENSDARG00000060805	814	821	914	817
ENSDARG00000080095	0	0	0	0
ENSDARG00000070930	22	30	14	13
ENSDARG00000022372	1519	1172	1354	1487
ENSDARG00000090159	47	45	33	54
ENSDARG00000102538	1830	2428	2308	2286
ENSDARG00000070847	71	43	55	41
ENSDARG00000096423	0	0	0	0
ENSDARG00000040230	30	43	38	31
ENSDARG00000096237	0	0	0	0
ENSDARG00000101094	1042	1300	1348	1179
ENSDARG00000095844	31	40	43	28
ENSDARG00000070913	1849	2192	1753	1647
ENSDARG00000105031	0	0	0	0
ENSDARG00000044420	618	767	625	614
ENSDARG00000022968	4435	4938	3677	3744
ENSDARG00000013845	1690	1827	822	979
ENSDARG00000003189	3150	3841	4197	3937
ENSDARG00000070940	50	57	34	46
ENSDARG00000060783	711	642	774	748
ENSDARG00000054007	580	492	616	664
ENSDARG00000026764	1249	1615	962	901
ENSDARG00000053973	67027	45783	46872	56720
ENSDARG00000023236	75	85	75	67
ENSDARG00000100625	538	694	513	370
ENSDARG00000070958	390	481	444	423
ENSDARG00000003373	578	612	476	505
ENSDARG00000067719	536	505	608	536
ENSDARG00000040747	6292	6550	5725	6421
ENSDARG00000060668	844	597	591	601
ENSDARG00000010312	2992	3477	7379	7832
ENSDARG00000085455	0	0	0	0
ENSDARG00000015749	471	527	445	418
ENSDARG00000070918	884	557	1144	1161
ENSDARG00000094110	117	171	101	90
ENSDARG00000040732	4	2	3	0
ENSDARG00000004502	473	474	367	358
ENSDARG00000017240	41	64	28	53
ENSDARG00000104014	236	245	279	182
ENSDARG00000011863	1109	1309	1348	1345
ENSDARG00000101008	1245	1184	1185	1035
ENSDARG00000086985	1786	2201	1690	1835
ENSDARG00000098644	2782	3376	2169	2011
ENSDARG00000101335	0	1	1	2
ENSDARG00000068126	109	146	109	122
ENSDARG00000084515	0	0	0	0
ENSDARG00000085769	0	0	0	0
ENSDARG00000101198	0	2	4	0
ENSDARG00000015273	484	389	726	731
ENSDARG00000053774	574	408	521	424
ENSDARG00000070898	371	488	497	462
ENSDARG00000095905	0	0	0	2
ENSDARG00000094527	0	0	0	0
ENSDARG00000070892	303	309	196	239
ENSDARG00000004932	555	608	537	536
ENSDARG00000070885	14	0	0	0
ENSDARG00000080977	0	3	0	4
ENSDARG00000095689	0	0	0	0
ENSDARG00000060646	302	326	275	262
ENSDARG00000014898	345	522	463	455
ENSDARG00000060645	157	215	196	161
ENSDARG00000040713	569	606	391	365
ENSDARG00000013834	101	93	132	98
ENSDARG00000089893	1364	1376	1071	921
ENSDARG00000073744	2261	2580	2218	1990
ENSDARG00000017658	1236	1336	1486	1479
ENSDARG00000002002	497	464	325	319
ENSDARG00000008035	412	360	184	148
ENSDARG00000019646	472	387	358	401
ENSDARG00000105179	694	718	673	608
ENSDARG00000090564	568	652	513	437
ENSDARG00000097048	666	828	645	697
ENSDARG00000062396	284	235	334	285
ENSDARG00000037855	700	833	767	711
ENSDARG00000077011	255	277	253	176
ENSDARG00000081007	1	2	0	0
ENSDARG00000013726	458	509	414	394
ENSDARG00000037852	840	817	844	863
ENSDARG00000013749	1382	1748	1489	1217
ENSDARG00000085848	0	0	0	0
ENSDARG00000059202	699	672	627	591
ENSDARG00000057907	842	976	937	844
ENSDARG00000037846	1111	1143	1400	1522
ENSDARG00000037845	11828	11652	13455	12616
ENSDARG00000071288	103	100	111	152
ENSDARG00000063574	303	371	261	304
ENSDARG00000025386	9	10	13	2
ENSDARG00000077371	64	54	47	57
ENSDARG00000037837	1297	1571	1279	1214
ENSDARG00000015025	1189	1315	1169	1054
ENSDARG00000027658	16	46	33	23
ENSDARG00000037833	40	49	30	53
ENSDARG00000101583	1	0	0	0
ENSDARG00000076496	615	779	940	847
ENSDARG00000077400	1263	1340	995	939
ENSDARG00000099709	2511	2822	2814	2892
ENSDARG00000087641	277	244	268	236
ENSDARG00000078404	785	802	691	677
ENSDARG00000093496	223	210	168	174
ENSDARG00000058978	318	349	284	282
ENSDARG00000093367	0	4	4	0
ENSDARG00000036864	1569	1175	1209	1330
ENSDARG00000089049	65	77	83	75
ENSDARG00000068086	1	0	0	0
ENSDARG00000100222	2115	2669	2461	2199
ENSDARG00000085406	0	0	0	0
ENSDARG00000098793	4	3	2	10
ENSDARG00000059044	52	88	27	42
ENSDARG00000019311	218	216	239	210
ENSDARG00000075676	274	384	247	248
ENSDARG00000008142	1253	1321	1312	1339
ENSDARG00000061024	765	675	809	884
ENSDARG00000017799	258	276	296	307
ENSDARG00000006288	127	134	141	167
ENSDARG00000062936	2256	2334	2532	2448
ENSDARG00000052604	444	434	455	378
ENSDARG00000074949	12	22	14	12
ENSDARG00000090971	523	529	529	420
ENSDARG00000017891	9217	10970	9783	9399
ENSDARG00000059081	16	6	19	21
ENSDARG00000046019	44	67	54	64
ENSDARG00000089986	2263	2555	2580	2160
ENSDARG00000071272	3217	3396	3124	2908
ENSDARG00000044956	0	4	2	6
ENSDARG00000086775	266	281	301	210
ENSDARG00000038442	2489	2625	2778	2472
ENSDARG00000019774	1243	1320	1149	1129
ENSDARG00000074790	1076	1388	1286	1445
ENSDARG00000063419	418	587	477	430
ENSDARG00000017121	1311	1353	1243	1193
ENSDARG00000009886	465	557	505	501
ENSDARG00000063250	760	748	818	736
ENSDARG00000037819	1	5	1	3
ENSDARG00000100914	5	4	2	0
ENSDARG00000004803	4	12	3	9
ENSDARG00000032865	2860	3156	2465	1999
ENSDARG00000016256	1297	1516	1190	1001
ENSDARG00000090634	644	764	551	530
ENSDARG00000098200	0	0	0	0
ENSDARG00000028335	19627	20548	27798	24046
ENSDARG00000078369	14	5	5	0
ENSDARG00000020699	732	773	584	722
ENSDARG00000037815	31	38	38	36
ENSDARG00000076299	746	647	726	696
ENSDARG00000018658	504	516	534	583
ENSDARG00000037813	241	184	225	209
ENSDARG00000016238	1647	1909	1106	1282
ENSDARG00000013729	2323	2329	2253	2320
ENSDARG00000095510	178	182	167	148
ENSDARG00000014828	797	776	712	655
ENSDARG00000094801	0	0	0	0
ENSDARG00000063370	1069	860	831	871
ENSDARG00000095241	456	487	345	319
ENSDARG00000037810	372	360	490	361
ENSDARG00000058873	861	969	661	767
ENSDARG00000058871	195	154	230	239
ENSDARG00000002483	283	280	205	215
ENSDARG00000063333	868	1014	1425	1360
ENSDARG00000073822	773	800	832	614
ENSDARG00000090638	17	19	13	11
ENSDARG00000045776	6296	7932	7198	7124
ENSDARG00000096415	355	425	257	234
ENSDARG00000102328	0	0	0	0
ENSDARG00000045945	4027	4359	2889	2780
ENSDARG00000094332	527	494	516	435
ENSDARG00000045944	2355	2456	1824	1691
ENSDARG00000011400	409	428	176	186
ENSDARG00000041417	4707	5105	4912	4612
ENSDARG00000041421	796	849	682	728
ENSDARG00000058961	175	156	124	123
ENSDARG00000102064	295	310	356	249
ENSDARG00000098308	170	194	108	99
ENSDARG00000079532	145	141	143	141
ENSDARG00000063285	69	113	136	144
ENSDARG00000089434	19	32	51	33
ENSDARG00000101435	65	60	87	68
ENSDARG00000098472	39	26	39	37
ENSDARG00000078129	0	0	0	0
ENSDARG00000080890	0	0	3	0
ENSDARG00000081975	0	0	0	0
ENSDARG00000075295	822	983	642	503
ENSDARG00000100724	0	0	0	0
ENSDARG00000074321	173	221	298	267
ENSDARG00000040523	425	430	490	530
ENSDARG00000099906	29	34	22	17
ENSDARG00000090598	110	110	77	118
ENSDARG00000020610	792	751	772	701
ENSDARG00000022698	698	677	522	470
ENSDARG00000000474	24	27	30	38
ENSDARG00000074360	0	0	0	3
ENSDARG00000037804	211	263	238	251
ENSDARG00000006603	1108	929	1312	1251
ENSDARG00000078011	597	779	955	701
ENSDARG00000058799	1039	1030	959	859
ENSDARG00000071261	26	32	33	51
ENSDARG00000025206	893	882	754	590
ENSDARG00000075779	267	320	201	216
ENSDARG00000063230	309	366	412	338
ENSDARG00000013837	6	6	8	5
ENSDARG00000058818	651	676	607	638
ENSDARG00000097678	1	0	0	2
ENSDARG00000013963	6101	6441	6602	5712
ENSDARG00000103927	35	23	11	20
ENSDARG00000102974	4136	5235	4533	3924
ENSDARG00000089626	1013	1277	1565	1424
ENSDARG00000071233	440	464	335	424
ENSDARG00000089210	0	2	0	6
ENSDARG00000071235	1166	1213	1065	1200
ENSDARG00000095864	9	10	6	0
ENSDARG00000071238	62	97	62	63
ENSDARG00000075948	433	517	339	302
ENSDARG00000071241	170	223	259	260
ENSDARG00000058738	123	128	84	89
ENSDARG00000090179	14	15	36	29
ENSDARG00000028448	501	584	583	545
ENSDARG00000100173	17	18	12	16
ENSDARG00000091367	2054	2203	2322	2120
ENSDARG00000096997	172	90	54	73
ENSDARG00000081687	0	0	0	0
ENSDARG00000088322	0	0	0	0
ENSDARG00000079785	0	0	1	0
ENSDARG00000017821	707	563	737	744
ENSDARG00000087032	494	481	406	403
ENSDARG00000058647	142	153	226	299
ENSDARG00000002536	1704	1824	1874	1893
ENSDARG00000076657	895	1070	857	776
ENSDARG00000008953	328	287	351	346
ENSDARG00000101120	1008	1067	946	899
ENSDARG00000104883	494	499	384	312
ENSDARG00000102879	2070	2534	1970	1641
ENSDARG00000033393	247	222	218	216
ENSDARG00000071209	492	592	413	389
ENSDARG00000077385	116	96	126	132
ENSDARG00000012927	742	934	708	662
ENSDARG00000058598	298	320	312	317
ENSDARG00000026333	237	325	284	253
ENSDARG00000063089	100	96	110	131
ENSDARG00000017154	287	262	217	214
ENSDARG00000092845	2	2	8	6
ENSDARG00000025850	20643	24733	18931	21251
ENSDARG00000037781	1972	1978	1804	1533
ENSDARG00000093153	50	58	0	0
ENSDARG00000100234	8	4	0	0
ENSDARG00000083706	0	0	0	0
ENSDARG00000063075	1494	1672	1566	1230
ENSDARG00000013830	1098	1120	1318	1318
ENSDARG00000058560	1790	2065	1690	1739
ENSDARG00000058543	2855	3541	2500	2643
ENSDARG00000085384	0	0	0	0
ENSDARG00000002659	2351	2517	3080	3022
ENSDARG00000011932	1833	1997	2011	1661
ENSDARG00000021573	293	294	172	198
ENSDARG00000030262	127	146	99	102
ENSDARG00000075821	1493	2022	1752	1518
ENSDARG00000058381	1663	1518	1369	1445
ENSDARG00000058371	189404	180200	123469	118403
ENSDARG00000058358	52743	46911	43453	44762
ENSDARG00000018404	14249	13230	14591	15181
ENSDARG00000058332	476	606	490	421
ENSDARG00000017439	1282	1538	1276	1230
ENSDARG00000076292	1497	1510	1435	1309
ENSDARG00000093320	18	12	9	9
ENSDARG00000004843	2781	2811	2560	2537
ENSDARG00000005078	1590	1586	1545	1413
ENSDARG00000037773	1057	1176	1004	945
ENSDARG00000026540	805	940	892	760
ENSDARG00000073757	231	207	145	136
ENSDARG00000013647	121	94	64	36
ENSDARG00000093971	0	2	0	0
ENSDARG00000077881	712	670	938	903
ENSDARG00000102238	0	0	0	0
ENSDARG00000062880	544	640	583	547
ENSDARG00000076364	3542	3690	2802	2812
ENSDARG00000086669	27	40	29	18
ENSDARG00000062806	29	28	46	43
ENSDARG00000088505	1267	1211	1009	793
ENSDARG00000077513	251	272	188	180
ENSDARG00000088950	4	8	6	6
ENSDARG00000058243	601	762	593	528
ENSDARG00000075842	40	76	56	70
ENSDARG00000089187	474	472	598	553
ENSDARG00000062770	178	175	111	122
ENSDARG00000091031	164	164	203	227
ENSDARG00000071271	106	134	164	149
ENSDARG00000100758	0	2	2	0
ENSDARG00000074457	77	38	100	144
ENSDARG00000058203	4161	4868	4888	4555
ENSDARG00000058212	266	258	312	299
ENSDARG00000071052	51	63	67	68
ENSDARG00000086495	7	16	19	17
ENSDARG00000094377	190	150	173	177
ENSDARG00000075611	2	0	0	0
ENSDARG00000102540	2	4	3	8
ENSDARG00000071055	191	199	166	179
ENSDARG00000078973	1113	1179	1027	1007
ENSDARG00000096450	1	0	2	0
ENSDARG00000082246	0	0	0	0
ENSDARG00000078191	802	884	832	786
ENSDARG00000062662	515	819	775	642
ENSDARG00000071060	1882	2263	1982	2122
ENSDARG00000071065	2113	2059	2028	2171
ENSDARG00000096897	12	6	19	18
ENSDARG00000061445	1166	1262	1257	1028
ENSDARG00000083221	0	0	0	0
ENSDARG00000001881	159	134	137	111
ENSDARG00000021945	2344	2770	2666	2363
ENSDARG00000058082	529	673	716	469
ENSDARG00000062699	563	476	387	341
ENSDARG00000100627	1	4	0	0
ENSDARG00000095139	24	6	8	2
ENSDARG00000094009	8	12	6	11
ENSDARG00000093794	0	0	0	0
ENSDARG00000077762	208	173	150	163
ENSDARG00000037706	430	417	770	719
ENSDARG00000037708	1248	1460	1396	1267
ENSDARG00000020788	59	81	75	103
ENSDARG00000010052	2855	3221	2774	2563
ENSDARG00000038737	2026	2549	2150	2089
ENSDARG00000078145	902	897	958	826
ENSDARG00000013838	5946	5961	6644	6125
ENSDARG00000092511	2	1	0	0
ENSDARG00000006838	86	91	93	67
ENSDARG00000028894	426	469	524	521
ENSDARG00000093398	0	0	0	0
ENSDARG00000091871	133	132	814	1202
ENSDARG00000095778	0	0	0	0
ENSDARG00000077577	48	35	59	44
ENSDARG00000092433	0	0	0	0
ENSDARG00000096904	43	47	12	10
ENSDARG00000095037	0	0	0	0
ENSDARG00000075539	583	602	511	462
ENSDARG00000012513	4578	4376	4787	4960
ENSDARG00000033567	197	177	187	168
ENSDARG00000088762	44	34	28	35
ENSDARG00000009079	20	22	50	47
ENSDARG00000095199	0	0	0	1
ENSDARG00000022623	781	855	704	795
ENSDARG00000071045	80	78	136	134
ENSDARG00000071044	96	95	69	97
ENSDARG00000057899	40	59	47	40
ENSDARG00000012035	521	520	306	300
ENSDARG00000037645	247	284	182	145
ENSDARG00000090572	2	0	0	0
ENSDARG00000057884	114	136	210	173
ENSDARG00000092166	351	371	279	240
ENSDARG00000071029	204	247	55	42
ENSDARG00000092077	26	34	25	46
ENSDARG00000057869	138	178	71	93
ENSDARG00000057863	305	296	324	272
ENSDARG00000057830	255	208	272	258
ENSDARG00000036791	854	1015	854	834
ENSDARG00000074668	0	1	0	0
ENSDARG00000094123	0	0	0	0
ENSDARG00000036784	473	457	378	461
ENSDARG00000092496	0	0	1	2
ENSDARG00000095017	9	21	22	11
ENSDARG00000037607	468	487	417	410
ENSDARG00000097013	0	0	0	0
ENSDARG00000077783	265	221	223	229
ENSDARG00000059956	719	801	785	702
ENSDARG00000031317	12019	13392	9698	10779
ENSDARG00000013655	3826	3831	3505	3565
ENSDARG00000018264	626	841	702	726
ENSDARG00000004836	4156	4753	3812	3385
ENSDARG00000037589	1219	1418	1116	1036
ENSDARG00000011049	310	344	372	335
ENSDARG00000037588	408	561	436	308
ENSDARG00000095857	0	0	0	0
ENSDARG00000097450	1	3	0	1
ENSDARG00000097211	112	78	91	84
ENSDARG00000080174	67	65	43	39
ENSDARG00000030547	2066	2318	1673	1438
ENSDARG00000040163	471	354	636	569
ENSDARG00000056932	1194	1224	970	924
ENSDARG00000005513	45907	51824	32874	33958
ENSDARG00000081030	0	0	0	0
ENSDARG00000082833	2	1	0	3
ENSDARG00000097489	357	387	438	432
ENSDARG00000056910	341	310	252	214
ENSDARG00000008541	30	32	21	20
ENSDARG00000093193	602	485	609	663
ENSDARG00000062096	1067	1102	877	826
ENSDARG00000037551	1872	1891	1778	1656
ENSDARG00000040161	627	707	694	602
ENSDARG00000080573	0	0	0	0
ENSDARG00000008263	594	487	367	357
ENSDARG00000012777	3761	4274	3538	3519
ENSDARG00000097278	1	1	0	0
ENSDARG00000077626	6	7	3	0
ENSDARG00000062357	249	297	179	242
ENSDARG00000084859	0	0	0	0
ENSDARG00000017781	1786	2006	1698	1714
ENSDARG00000083280	9	9	13	13
ENSDARG00000019205	4102	5351	4895	4841
ENSDARG00000029219	76	92	102	51
ENSDARG00000017659	2296	2174	2806	2717
ENSDARG00000019444	2641	2589	2858	2859
ENSDARG00000017037	1413	1543	1456	1413
ENSDARG00000070923	203	267	306	264
ENSDARG00000093891	0	0	0	0
ENSDARG00000093181	2	2	2	0
ENSDARG00000015003	1435	1750	1316	1341
ENSDARG00000094138	3	2	0	4
ENSDARG00000019503	52	97	63	53
ENSDARG00000035322	1786	1864	1768	1463
ENSDARG00000081473	0	0	0	0
ENSDARG00000020647	1219	1369	1170	1195
ENSDARG00000101461	128	158	104	98
ENSDARG00000087640	1386	1847	1904	1606
ENSDARG00000057403	607	867	867	748
ENSDARG00000093317	39	38	10	9
ENSDARG00000022509	1578	1885	1664	1621
ENSDARG00000008434	2320	2577	2455	2371
ENSDARG00000074702	2175	2394	2412	2177
ENSDARG00000094757	0	0	0	0
ENSDARG00000090879	6	7	2	2
ENSDARG00000003865	134	106	129	108
ENSDARG00000095322	174	208	179	139
ENSDARG00000092723	8	4	2	4
ENSDARG00000046098	164	143	268	301
ENSDARG00000094530	8	0	0	0
ENSDARG00000094927	0	0	0	0
ENSDARG00000033533	297	408	272	331
ENSDARG00000104891	296	353	292	281
ENSDARG00000034604	10	18	7	7
ENSDARG00000092818	0	0	0	0
ENSDARG00000057426	49	40	21	31
ENSDARG00000013393	238	317	286	336
ENSDARG00000090787	44	77	47	50
ENSDARG00000079569	192	184	163	144
ENSDARG00000013346	2631	2808	2551	2375
ENSDARG00000087741	103	138	153	125
ENSDARG00000059987	121	139	106	79
ENSDARG00000090963	1635	2002	1230	1277
ENSDARG00000020764	1325	1303	897	906
ENSDARG00000092281	883	991	1038	976
ENSDARG00000070894	47	45	53	31
ENSDARG00000023703	638	687	571	530
ENSDARG00000089921	116	179	150	136
ENSDARG00000031489	44	46	14	12
ENSDARG00000092512	0	0	0	0
ENSDARG00000005464	430	412	467	467
ENSDARG00000025581	47932	52393	46814	51692
ENSDARG00000081115	4	2	2	3
ENSDARG00000081328	0	0	0	0
ENSDARG00000074201	6759	7850	7365	7566
ENSDARG00000095774	683	625	542	643
ENSDARG00000037432	199	244	243	256
ENSDARG00000023445	6012	7565	5696	4894
ENSDARG00000094174	0	0	0	0
ENSDARG00000037537	313	344	344	333
ENSDARG00000070868	79	106	78	125
ENSDARG00000062329	353	296	364	393
ENSDARG00000002945	977	931	917	926
ENSDARG00000070857	566	570	685	712
ENSDARG00000037539	4172	5691	3999	3390
ENSDARG00000006019	6885	5968	5613	6225
ENSDARG00000006174	24	52	51	52
ENSDARG00000092934	69	81	76	77
ENSDARG00000004132	1930	2375	2199	1940
ENSDARG00000002084	2609	3338	3039	2899
ENSDARG00000033950	1901	2200	1923	1931
ENSDARG00000093223	3	5	10	2
ENSDARG00000095453	63	82	36	35
ENSDARG00000083497	1	0	0	0
ENSDARG00000037527	34	66	107	107
ENSDARG00000037526	4	3	3	0
ENSDARG00000095002	589	580	434	458
ENSDARG00000070835	96375	135834	91043	84416
ENSDARG00000070834	661	899	696	732
ENSDARG00000037517	1678	1897	1595	1684
ENSDARG00000057011	637	712	640	601
ENSDARG00000097895	0	0	0	0
ENSDARG00000074293	1079	1157	990	960
ENSDARG00000057000	958	1096	908	764
ENSDARG00000037559	7302	8353	7985	7562
ENSDARG00000037554	132	112	115	146
ENSDARG00000094280	548	590	442	447
ENSDARG00000056961	407	456	334	316
ENSDARG00000062231	438	428	402	412
ENSDARG00000089868	26	21	20	25
ENSDARG00000091221	2	3	5	11
ENSDARG00000067630	491	493	448	502
ENSDARG00000086098	869	1415	1221	1255
ENSDARG00000070818	950	1023	1030	871
ENSDARG00000105202	0	0	0	0
ENSDARG00000062134	486	539	408	358
ENSDARG00000079199	229	270	276	270
ENSDARG00000094389	0	0	0	0
ENSDARG00000057255	1603	1799	1996	1927
ENSDARG00000009549	5611	6826	5588	4901
ENSDARG00000082182	0	0	0	0
ENSDARG00000062101	160	147	160	159
ENSDARG00000056739	20	16	16	19
ENSDARG00000032963	199	283	186	191
ENSDARG00000056732	232	285	180	211
ENSDARG00000094426	432	534	399	396
ENSDARG00000070770	45	16	31	28
ENSDARG00000009822	356	408	463	595
ENSDARG00000056729	189	229	139	131
ENSDARG00000093156	67	60	50	54
ENSDARG00000087681	91	108	101	86
ENSDARG00000020241	730	943	677	705
ENSDARG00000012409	324	364	270	273
ENSDARG00000011510	3230	3643	4199	3519
ENSDARG00000074244	1631	1822	1787	1639
ENSDARG00000056084	1238	1339	1022	1113
ENSDARG00000044982	403	512	733	805
ENSDARG00000094086	0	4	7	11
ENSDARG00000017986	1915	2610	1914	1704
ENSDARG00000102479	0	0	0	0
ENSDARG00000075147	215	272	166	168
ENSDARG00000097585	4	6	13	10
ENSDARG00000037373	373	404	457	376
ENSDARG00000094644	0	0	0	0
ENSDARG00000089063	659	669	634	638
ENSDARG00000074331	786	926	1049	891
ENSDARG00000056695	1714	1865	1425	1218
ENSDARG00000001437	2238	2145	1764	1741
ENSDARG00000056554	692	756	777	563
ENSDARG00000056515	802	863	867	840
ENSDARG00000095377	18	36	11	21
ENSDARG00000093376	0	2	2	0
ENSDARG00000081220	0	0	0	0
ENSDARG00000034975	232	218	181	193
ENSDARG00000077875	254	174	86	69
ENSDARG00000056499	2260	2481	2008	2231
ENSDARG00000022456	28791	33009	24939	25278
ENSDARG00000077353	4823	5167	4688	4398
ENSDARG00000094655	0	0	0	1
ENSDARG00000077852	1200	1368	1394	1224
ENSDARG00000001754	1464	1801	1833	1756
ENSDARG00000037324	929	1129	897	821
ENSDARG00000087844	422	524	514	533
ENSDARG00000094005	6	14	2	2
ENSDARG00000056438	2036	2145	1497	1709
ENSDARG00000079388	3142	3968	3348	3119
ENSDARG00000012340	941	965	754	694
ENSDARG00000070697	28	18	23	37
ENSDARG00000090472	164	161	315	367
ENSDARG00000081868	0	0	0	0
ENSDARG00000081399	0	0	0	0
ENSDARG00000081438	0	0	0	0
ENSDARG00000101558	0	0	0	0
ENSDARG00000088900	97	142	169	103
ENSDARG00000078853	635	728	720	644
ENSDARG00000095722	0	0	0	0
ENSDARG00000092130	0	0	0	0
ENSDARG00000077327	574	679	461	487
ENSDARG00000094508	2	8	1	0
ENSDARG00000078850	664	677	522	539
ENSDARG00000037318	2961	3371	3729	3800
ENSDARG00000074548	1000	1274	1079	954
ENSDARG00000104441	476	516	665	544
ENSDARG00000022560	140	132	100	124
ENSDARG00000037320	102	124	92	101
ENSDARG00000022727	2752	3015	2633	2699
ENSDARG00000074245	4231	4607	3545	2862
ENSDARG00000097461	4	3	1	2
ENSDARG00000097606	335	233	276	294
ENSDARG00000003475	143	162	132	141
ENSDARG00000056338	962	1263	1223	1172
ENSDARG00000061890	575	588	508	546
ENSDARG00000092713	0	0	0	0
ENSDARG00000094535	2	0	2	0
ENSDARG00000087916	230	225	200	204
ENSDARG00000056334	221	277	334	287
ENSDARG00000056318	1389	1493	1234	1209
ENSDARG00000081648	0	0	0	1
ENSDARG00000096982	0	2	3	2
ENSDARG00000079148	1183	1231	1268	1022
ENSDARG00000036102	10221	10813	7968	7954
ENSDARG00000080579	6	6	2	6
ENSDARG00000070682	1913	2200	2192	2215
ENSDARG00000070681	627	617	871	679
ENSDARG00000061852	355	430	363	290
ENSDARG00000076730	427	550	326	327
ENSDARG00000084935	0	0	0	0
ENSDARG00000094502	0	0	0	0
ENSDARG00000039255	2773	3311	2859	2408
ENSDARG00000039263	196	211	236	240
ENSDARG00000077751	905	1037	994	890
ENSDARG00000004325	643	780	726	697
ENSDARG00000039265	128	116	105	84
ENSDARG00000007436	326	273	225	222
ENSDARG00000077589	0	0	0	0
ENSDARG00000023648	2024	2297	1836	1934
ENSDARG00000070675	792	833	747	700
ENSDARG00000021611	659	757	848	734
ENSDARG00000036993	1043	986	964	1039
ENSDARG00000070657	3496	4701	3916	3855
ENSDARG00000092807	67907	77698	52054	60740
